Sex,Height,Weight
female,66.7,193.8
female,64.5,157
female,60.7,190.8
female,59.6,110.9
female,63.2,163.2
female,66,167.9
female,62.5,119.8
female,67.9,122
female,67.1,168.8
female,66.2,120.9
female,62.1,96.5
female,65.2,139.3
female,63.6,160.7
female,65,125.3
female,57.5,125.9
female,63.4,193.7
female,67.2,234.9
female,62.8,156.9
female,65.3,221.2
female,66.4,172.8
male,73.3,240.2
male,73.2,216.6
male,68.4,185.9
male,70.2,178.8
male,70.3,181.1
male,72.4,210.4
male,72.1,187
male,65.6,146.5
male,67.2,141.8
male,66.2,162
male,66,173.8
male,66.7,241.6
male,70.3,170.4
male,68.6,152.6
male,70.9,182.2
male,68,190.9
male,65.4,146.6
male,67.4,158.5
male,62.8,140.5
male,73.3,168
